Twitter Username,Stripped Name,Handle
Rep. Tulsi Gabbard,Tulsi Gabbard,TulsiPress
MichelleLujanGrisham,MichelleLujanGrisham,RepLujanGrisham
Rep. Jeff Miller,Jeff Miller,RepJeffMiller
Sen. Heidi Heitkamp,Heidi Heitkamp,SenatorHeitkamp
Elizabeth Esty,Elizabeth Esty,RepEsty
Doug Collins,Doug Collins,RepDougCollins
Markwayne Mullin,Markwayne Mullin,RepMullin
Rep. Derek Kilmer,Derek Kilmer,RepDerekKilmer
Ron DeSantis,Ron DeSantis,RepDeSantis
Ann McLane Kuster,Ann McLane Kuster,RepAnnieKuster
Tammy Duckworth,Tammy Duckworth,RepDuckworth
 George Holding,George Holding,RepHolding
Congressman Tom Rice,Tom Rice,RepTomRice
Rep. Chris Collins,Chris Collins,RepChrisCollins
Randy Weber,Randy Weber,TXRandy14
Rep. Joe Kennedy III,Joe Kennedy III,RepJoeKennedy
Rep. Alan Lowenthal,Alan Lowenthal,RepLowenthal
US Rep. Rick Nolan,Rick Nolan,USRepRickNolan
Grace Meng,Grace Meng,RepGraceMeng
Rep. Kevin Cramer,Kevin Cramer,RepKevinCramer
Rep. Luke Messer,Luke Messer,RepLukeMesser
Rep. Dan Kildee,Dan Kildee,RepDanKildee
Mark Takano,Mark Takano,RepMarkTakano
Rep. Daniel Lipinski,Daniel Lipinski,RepLipinski
Rep. Suzan DelBene,Suzan DelBene,RepDelBene
US Rep Rodney Davis,Rodney Davis,RodneyDavis
Dave Joyce,Dave Joyce,RepDaveJoyce
Thomas Massie,Thomas Massie,RepThomasMassie
Elizabeth Warren,Elizabeth Warren,SenWarren
Tom Cotton,Tom Cotton,SenTomCotton
Mark Meadows,Mark Meadows,RepMarkMeadows
"Rep. Andy Harris, MD","Andy Harris, MD",RepAndyHarrisMD
Scott Garrett,Scott Garrett,RepGarrett
Congressman Ami Bera,Ami Bera,RepBera
Rep Robert Pittenger,Robert Pittenger,reppittenger
Rep. Eric Swalwell,Eric Swalwell,RepSwalwell
Rep. John Delaney,John Delaney,RepJohnDelaney
Rep. Mike Kelly,Mike Kelly,MikeKellyPA
Richard Hudson,Richard Hudson,RepRichHudson
Rep. Pat Tiberi,Pat Tiberi,PatTiberi
Sensenbrenner Press,Sensenbrenner Press,JimPressOffice
David Rouzer,David Rouzer,RepDavidRouzer
Rep. Danny Davis,Danny Davis,RepDannyDavis
Elijah E. Cummings,Elijah Cummings,RepCummings
Matt Cartwright,Matt Cartwright,RepCartwright
Rep. Leonard Lance,Leonard Lance,RepLanceNJ7
Senator Mike Crapo,Mike Crapo,MikeCrapo
Lacy Clay,Lacy Clay,LacyClayMO1
Rep. Doug Lamborn,Doug Lamborn,RepDLamborn
Marcy Kaptur,Marcy Kaptur,RepMarcyKaptur
Suzanne Bonamici,Suzanne Bonamici,RepBonamici
Senator Thad Cochran,Thad Cochran,SenThadCochran
Hal Rogers,Hal Rogers,RepHalRogers
Brad Wenstrup,Brad Wenstrup,RepBradWenstrup
Betty McCollum,Betty McCollum,BettyMcCollum04
Senator Jon Tester,Jon Tester,SenatorTester
Dave Loebsack,Dave Loebsack,daveloebsack
Senator Jack Reed,Jack Reed,SenJackReed
Rep. Roybal-Allard,Roybal-Allard,RepRoybalAllard
Sen Dianne Feinstein,Dianne Feinstein,SenFeinstein
Hakeem Jeffries,Hakeem Jeffries,RepJeffries
Rep. Jared Polis,Jared Polis,RepJaredPolis
Rep. Richard Neal,Richard Neal,RepRichardNeal
Office of Sen. Coons,Office of Sen. Coons,SenCoonsOffice
Rep. Susan Davis,Susan Davis,RepSusanDavis
G. K. Butterfield,G. Butterfield,GKButterfield
Rep. Rick Larsen,Rick Larsen,RepRickLarsen
RepMarkAmodei,MarkAmodei,MarkAmodeiNV2
Doc Hastings,Doc Hastings,DocHastings
Rep. Steven Horsford,Steven Horsford,RepHorsford
Jerry McNerney,Jerry McNerney,RepMcNerney
Rep. John Yarmuth,John Yarmuth,RepJohnYarmuth
Senator John Hoeven,John Hoeven,SenJohnHoeven
Rep. Terri A. Sewell,Terri Sewell,RepTerriSewell
Mac Thornberry Press,Mac Thornberry Press,MacTXPress
Rep. John Sarbanes,John Sarbanes,RepSarbanes
Rep. Devin Nunes,Devin Nunes,Rep_DevinNunes
Janice Hahn,Janice Hahn,Rep_JaniceHahn
Sen. McConnell Press,McConnell Press,McConnellPress
Jared Huffman,Jared Huffman,JaredHuffman
Indian Affairs Cmte,Indian Affairs Cmte,IndianCommittee
Vice President Biden,Vice President Biden,VP
David Young,David Young,RepDavidYoung
Linda T. Sánchez,Linda Sánchez,RepLindaSanchez
Rep. Stephen Lynch,Stephen Lynch,RepStephenLynch
Dutch Ruppersberger,Dutch Ruppersberger,Call_Me_Dutch
Bobby L. Rush,Bobby Rush,RepBobbyRush
Mike Thompson,Mike Thompson,RepThompson
Cong. Steven Palazzo,Steven Palazzo,CongPalazzo
Senator John Thune,John Thune,SenJohnThune
Rep. Adrian Smith,Adrian Smith,RepAdrianSmith
Mike Conaway,Mike Conaway,ConawayTX11
Senator Patty Murray,Patty Murray,PattyMurray
Lois Capps,Lois Capps,RepLoisCapps
Corrine Brown,Corrine Brown,RepCorrineBrown
Mike Enzi,Mike Enzi,SenatorEnzi
HouseVetAffairs,HouseVetAffairs,HouseVetAffairs
Daniel Webster,Daniel Webster,RepWebster
Marsha Blackburn,Marsha Blackburn,MarshaBlackburn
Richard Blumenthal,Richard Blumenthal,SenBlumenthal
SenateEnergyDems,EnergyDems,EnergyDems
SASC Majority,SASC Majority,SASCMajority
Rep. Zoe Lofgren,Zoe Lofgren,RepZoeLofgren
Rep Cedric Richmond,Cedric Richmond,RepRichmond
Dean Heller,Dean Heller,SenDeanHeller
Senator Roger Wicker,Roger Wicker,SenatorWicker
Senator Hatch Office,Hatch Office,SenOrrinHatch
Patrick Murphy,Patrick Murphy,PatrickMurphyFL
Carolyn  B. Maloney,Carolyn  Maloney,RepMaloney
Joe Wilson,Joe Wilson,RepJoeWilson
Rep. Kevin Yoder,Kevin Yoder,RepKevinYoder
Tom Reed,Tom Reed,RepTomReed
Rep Peter DeFazio,Peter DeFazio,RepPeterDeFazio
Ron Wyden,Ron Wyden,RonWyden
Senator Tom Carper,Tom Carper,SenatorCarper
"Sanford Bishop, Jr.",Sanford Bishop,SanfordBishop
Rep. Anna G. Eshoo,Anna Eshoo,RepAnnaEshoo
Charles Boustany,Charles Boustany,RepBoustany
Sam Johnson,Sam Johnson,SamsPressShop
Stephen Fincher,Stephen Fincher,RepFincherTN08
Patrick Meehan,Patrick Meehan,RepMeehan
Rep. Barbara Lee,Barbara Lee,RepBarbaraLee
Jeff Denham,Jeff Denham,RepJeffDenham
Seth Moulton,Seth Moulton,sethmoulton
Senator Dick Durbin,Dick Durbin,SenatorDurbin
Ed Royce,Ed Royce,RepEdRoyce
House Judiciary Dems,House Judiciary Dems,HouseJudDems
Raúl R. Labrador,Raúl Labrador,Raul_Labrador
Rep. Jim Costa,Jim Costa,RepJimCosta
Rep. Robert J. Dold,Robert Dold,RepDold
Mike Pompeo,Mike Pompeo,RepMikePompeo
JaimeHerreraBeutler,JaimeHerreraBeutler,HerreraBeutler
Niki Tsongas,Niki Tsongas,nikiinthehouse
Scott Tipton,Scott Tipton,RepTipton
Sen. Patrick Leahy,Patrick Leahy,SenatorLeahy
Frank Lucas,Frank Lucas,RepFrankLucas
Dr. Dan Benishek,Dr. Dan Benishek,CongressmanDan
Sheldon Whitehouse,Sheldon Whitehouse,SenWhitehouse
