Twitter Username,Stripped Name,Handle
RepScottPerry,ScottPerry,RepScottPerry
Albio Sires,Albio Sires,RepSires
Senator Bob Menendez,Bob Menendez,SenatorMenendez
Jerry Moran,Jerry Moran,JerryMoran
Jeb Hensarling,Jeb Hensarling,RepHensarling
Rep. Pete King,Pete King,RepPeteKing
Rep. Jim Jordan,Jim Jordan,Jim_Jordan
Chris Van Hollen,Chris Van Hollen,ChrisVanHollen
Sen. Lisa Murkowski,Lisa Murkowski,lisamurkowski
JudgeCarter,Carter,JudgeCarter
CathyMcMorrisRodgers,CathyMcMorrisRodgers,cathymcmorris
Dina Titus,Dina Titus,dinatitus
Blake Farenthold,Blake Farenthold,farenthold
Jason Chaffetz,Jason Chaffetz,jasoninthehouse
Rep. Todd Rokita,Todd Rokita,ToddRokita
Rep. Erik Paulsen,Erik Paulsen,RepErikPaulsen
Chuck Schumer,Chuck Schumer,SenSchumer
Senator Harry Reid,Harry Reid,SenatorReid
Rep. Mike Honda,Mike Honda,RepMikeHonda
Ed & Workforce Cmte,Ed & Workforce Cmte,EdWorkforce
Virginia Foxx,Virginia Foxx,virginiafoxx
Claire McCaskill,Claire McCaskill,clairecmc
Dave Reichert,Dave Reichert,davereichert
Jeff Flake,Jeff Flake,JeffFlake
Earl Blumenauer,Earl Blumenauer,repblumenauer
Lamar Smith,Lamar Smith,LamarSmithTX21
Cory Booker,Cory Booker,CoryBooker
Nancy Pelosi ,Nancy Pelosi,NancyPelosi
"Michael Burgess, MD","Michael Burgess, MD",michaelcburgess
Marco Rubio,Marco Rubio,marcorubio
John Shimkus,John Shimkus,RepShimkus
Sen. Barbara Boxer,Barbara Boxer,SenatorBoxer
U.S. Rep. Bob Latta,Bob Latta,boblatta
Rep. Rob Wittman,Rob Wittman,RobWittman
Candice Miller,Candice Miller,CandiceMiller
Randy Forbes,Randy Forbes,Randy_Forbes
Chellie Pingree,Chellie Pingree,chelliepingree
johnculberson,johnculberson,johnculberson
Lindsey Graham,Lindsey Graham,GrahamBlog
Senate Republicans,Republicans,Senate_GOPs
Ileana Ros-Lehtinen,Ileana Ros-Lehtinen,RosLehtinen
Rep. Keith Ellison,Keith Ellison,keithellison
Congressman Tim Ryan,Tim Ryan,RepTimRyan
JohnCornyn,JohnCornyn,JohnCornyn
Ways and Means ,Ways and Means,WaysandMeansGOP
Steve Daines,Steve Daines,SteveDaines
ChuckGrassley,ChuckGrassley,ChuckGrassley
Speaker John Boehner,John Boehner,SpeakerBoehner
Mark Warner,Mark Warner,MarkWarner
Al Franken,Al Franken,alfranken
Jim Inhofe,Jim Inhofe,jiminhofe
Tom Price,Tom Price,RepTomPrice
Senator John Boozman,John Boozman,JohnBoozman
John Boehner,John Boehner,johnboehner
