Name,Party,District
Mac Thornberry,R,Texas 13
Ed Whitfield,R,Kentucky 1
Elijah Cummings,D,Maryland 7
Earl Blumenauer,D,Oregon 3
Jo Ann Emerson,R,Missouri 8
Robert Aderholt,R,Alabama 4
Kevin Brady,R,Texas 8
Danny Davis,D,Illinois 7
Diana DeGette,D,Colorado 1
Kay Granger,R,Texas 12
Rubén Hinojosa,D,Texas 15
Ron Kind,D,Wisconsin 3
Carolyn McCarthy,D,New York 4
Jim McGovern,D,Massachusetts 2
Mike McIntyre,D,North Carolina 7
Bill Pascrell,D,New Jersey 8
Joe Pitts,R,Pennsylvania 16
Loretta Sanchez,D,California 46
Pete Sessions,R,California 32
Brad Sherman,D,California 30
John Shimkus,R,Illinois 15
Adam Smith,D,Washington 9
John Tierney,D,Massachusetts 6
Gregory Meeks,D,New York 5
Lois Capps,D,California 24
Barbara Lee,D,California 13
Robert Brady,D,Pennsylvania 1
Steve Chabot,R,Ohio 1
Mike Capuano,D,Massachusetts 7
Joe Crowley,D,New York 14
Rush D. Holt,D,New Jersey 12
John Larson,D,Connecticut 1
Gary Miller,R,California 31
Grace Napolitano,D,California 32
Paul Ryan,R,Wisconsin 1
Jan Schakowsky,D,Illinois 9
Mike Simpson,R,Idaho 2
Lee Terry,R,Nebraska 2
Mike Thompson,D,California 5
Greg Walden,R,Oregon 2
Eric Cantor,R,Virginia 7
Shelley Moore Capito,R,West Virginia 2
William Lacy Clay,D,Missouri 1
Ander Crenshaw,R,Florida 4
John Culberson,R,Texas 7
Susan Davis,D,California 53
Sam Graves,R,Missouri 6
Mike Honda,D,California 15
Steve Israel,D,New York 3
Darrell Issa,R,California 49
James Langevin,D,Rhode Island 2
Rick Larsen,D,Washington 2
Jim Matheson,D,Utah 4
Betty McCollum,D,Minnesota 4
Mike Rogers,R,Michigan 8
Adam Schiff,D,California 28
Patrick Tiberi,R,Ohio 12
Bill Shuster,R,Pennsylvania 9
Randy Forbes,R,Virginia 4
Stephen Lynch,D,Massachusetts 9
Jeff Miller,R,Florida 1
Joe Wilson,R,South Carolina 2
Rodney Alexander,R,Louisiana 5
Rob Bishop,R,Utah 1
Tim Bishop,D,New York 1
Marsha Blackburn,R,Tennessee 7
Jo Bonner,R,Alabama 1
Michael Burgess,R,Texas 26
John Carter,R,Texas 31
Tom Cole,R,Oklahoma 4
Mario Diaz-Balart,R,Florida 25
Trent Franks,R,Arizona 8
Scott Garrett,R,New Jersey 5
Jim Gerlach,R,Pennsylvania 6
Phil Gingrey,R,Georgia 1
Raúl Grijalva,D,Arizona 3
Jeb Hensarling,R,Texas 5
Steve King,R,Iowa 4
John Kline,R,Minnesota 2
Mike Michaud,D,Maine 2
Candice Miller,R,Michigan 10
Tim Murphy,R,Pennsylvania 18
Devin Nunes,R,California 22
Mike D. Rogers,R,Alabama 3
Dutch Ruppersberger,D,Maryland 2
Tim Ryan,D,Ohio 13
Linda Sánchez,D,California 39
David Scott,D,Georgia 13
Michael Turner,R,Ohio 10
Chris Van Hollen,D,Maryland 8
Randy Neugebauer,R,Texas 19
G. K. Butterfield,D,North Carolina 1
John Barrow,D,Georgia 12
Charles Boustany,R,Louisiana 7
Emanuel Cleaver,D,Missouri 5
Mike Conaway,R,Texas 11
Jim Costa,D,California 16
Henry Cuellar,D,Texas 28
Charlie Dent,R,Pennsylvania 15
Jeff Fortenberry,R,Nebraska 1
Virginia Foxx,R,North Carolina 5
Louie Gohmert,R,Texas 1
Al Green,D,Texas 9
Brian Higgins,D,New York 26
Dan Lipinski,D,Illinois 3
Kenny Marchant,R,Texas 24
Michael McCaul,R,Texas 10
Patrick McHenry,R,North Carolina 10
Cathy McMorris Rodgers,R,Washington 5
Gwen Moore,D,Wisconsin 4
Ted Poe,R,Texas 2
Tom Price,R,Georgia 6
Dave Reichert,R,Washington 8
Allyson Schwartz,D,Pennsylvania 13
Debbie Wasserman Schultz,D,Florida 23
Lynn Westmoreland,R,Georgia 3
Doris Matsui,D,California 6
John Campbell,R,California 48
Albio Sires,D,New Jersey 13
Steve Pearce,R,New Mexico 2
Michele Bachmann,R,Minnesota 6
Gus Bilirakis,R,Florida 12
Bruce Braley,D,Iowa 1
Vern Buchanan,R,Florida 16
Kathy Castor,D,Florida 14
Yvette D. Clarke,D,New York 9
Steve Cohen,D,Tennessee 9
Joe Courtney,D,Connecticut 2
Keith Ellison,D,Minnesota 5
Hank Johnson,D,Georgia 4
Jim Jordan,R,Ohio 4
Doug Lamborn,R,Colorado 5
Dave Loebsack,D,Iowa 2
Kevin McCarthy,R,California 23
Jerry McNerney,D,California 9
Ed Perlmutter,D,Colorado 7
Peter Roskam,R,Illinois 6
John Sarbanes,D,Maryland 3
Adrian Smith,R,Nebraska 3
Tim Walz,D,Minnesota 1
Peter Welch,D,Vermont at-large
John Yarmuth,D,Kentucky 3
Paul Broun,R,Georgia 10
Niki Tsongas,D,Massachusetts 5
Bob Latta,R,Ohio 5
Rob Wittman,R,Virginia 1
André Carson,D,Indiana 7
Jackie Speier,D,California 14
Steve Scalise,R,Louisiana 1
Donna Edwards,D,Maryland 4
Marcia Fudge,D,Ohio 11
Rick Nolan,D,Minnesota 8
Matt Salmon,R,Arizona 5
Bill Cassidy,R,Louisiana 6
Jason Chaffetz,R,Utah 3
Mike Coffman,R,Colorado 6
Gerry Connolly,D,Virginia 11
John C. Fleming,R,Louisiana 4
Brett Guthrie,R,Kentucky 2
Gregg Harper,R,Mississippi 3
Jim Himes,D,Connecticut 4
Duncan D. Hunter,R,California 50
Lynn Jenkins,R,Kansas 2
Leonard Lance,R,New Jersey 7
Blaine Luetkemeyer,R,Missouri 10
Ben R. Luján,D,New Mexico 3
Cynthia Lummis,R,Wyoming at-large
Tom McClintock,R,California 4
Pete Olson,R,Texas 22
Erik Paulsen,R,Minnesota 3
Gary Peters,D,Michigan 14
Chellie Pingree,D,Maine 1
Jared Polis,D,Colorado 2
Bill Posey,R,Florida 8
Phil Roe,R,Tennessee 1
Tom Rooney,R,Florida 17
Aaron Schock,R,Illinois 18
Kurt Schrader,D,Oregon 5
Glenn Thompson,R,Pennsylvania 5
Paul Tonko,D,New York 20
Michael Quigley,D,Illinois 5
Judy Chu,D,California 27
John Garamendi,D,California 3
Bill Owens,D,New York 21
Ted Deutch,D,Florida 21
Tom Graves,R,Georgia 14
Tom Reed,R,New York 23
Marlin Stutzman,R,Indiana 3
Mike Fitzpatrick,R,Pennsylvania 8
Carol Shea-Porter,D,New Hampshire 1
Tim Walberg,R,Michigan 7
Bill Foster,D,Illinois 11
Justin Amash,R,Michigan 3
Lou Barletta,R,Pennsylvania 11
Karen Bass,D,California 37
Dan Benishek,R,Michigan 1
Diane Black,R,Tennessee 6
Mo Brooks,R,Alabama 5
Larry Bucshon,R,Indiana 8
John Carney,D,Delaware at-large
David Cicilline,D,Rhode Island 1
Rick Crawford,R,Arkansas 1
Jeff Denham,R,California 10
Scott DesJarlais,R,Tennessee 4
Sean Duffy,R,Wisconsin 7
Jeff Duncan,R,South Carolina 3
Renee Ellmers,R,North Carolina 2
Blake Farenthold,R,Texas 27
Stephen Fincher,R,Tennessee 8
Chuck Fleischmann,R,Tennessee 3
Bill Flores,R,Texas 17
Cory Gardner,R,Colorado 4
Bob Gibbs,R,Ohio 7
Chris Gibson,R,New York 19
Paul Gosar,R,Arizona 4
Trey Gowdy,R,South Carolina 4
Tim Griffin,R,Arkansas 2
Morgan Griffith,R,Virginia 9
Michael Grimm,R,New York 11
Colleen Hanabusa,D,Hawaii 1
Richard Hanna,R,New York 22
Andy Harris,R,Maryland 1
Vicky Hartzler,R,Missouri 4
Joe Heck,R,Nevada 3
Jaime Herrera,R,Washington 3
Tim Huelskamp,R,Kansas 1
Bill Huizenga,R,Michigan 2
Randy Hultgren,R,Illinois 14
Robert Hurt,R,Virginia 5
Bill Johnson,R,Ohio 6
Bill Keating,D,Massachusetts 9
Mike Kelly,R,Pennsylvania 3
Adam Kinzinger,R,Illinois 16
Raúl Labrador,R,Idaho 1
James Lankford,R,Oklahoma 5
Billy Long,R,Missouri 7
Tom Marino,R,Pennsylvania 10
David McKinley,R,West Virginia 1
Pat Meehan,R,Pennsylvania 7
Mick Mulvaney,R,South Carolina 5
Kristi Noem,R,South Dakota at-large
Rich Nugent,R,Florida 11
Alan Nunnelee,R,Mississippi 1
Steven Palazzo,R,Mississippi 4
Mike Pompeo,R,Kansas 4
Jim Renacci,R,Ohio 16
Reid Ribble,R,Wisconsin 8
Cedric Richmond,D,Louisiana 2
Scott Rigell,R,Virginia 2
Martha Roby,R,Alabama 2
Todd Rokita,R,Indiana 4
Dennis Ross,R,Florida 15
Jon Runyan,R,New Jersey 3
David Schweikert,R,Arizona 6
Austin Scott,R,Georgia 8
Terri Sewell,D,Alabama 7
Steve Southerland,R,Florida 2
Steve Stivers,R,Ohio 15
Scott Tipton,R,Colorado 3
Daniel Webster,R,Florida 10
Frederica Wilson,D,Florida 24
Steve Womack,R,Arkansas 3
Rob Woodall,R,Georgia 7
Kevin Yoder,R,Kansas 3
Todd Young,R,Indiana 9
Janice Hahn,D,California 44
Mark Amodei,R,Nevada 2
Suzanne Bonamici,D,Oregon 1
Ron Barber,D,Arizona 2
Suzan DelBene,D,Washington 1
Thomas Massie,R,Kentucky 4
"Donald Payne, Jr.",D,New Jersey 10
Alan Grayson,D,Florida 9
Ann Kirkpatrick,D,Arizona 1
Dan Maffei,D,New York 24
Steve Stockman,R,Texas 36
Dina Titus,D,Nevada 1
Andy Barr,R,Kentucky 6
Joyce Beatty,D,Ohio 3
Kerry Bentivolio,R,Michigan 11
Ami Bera,D,California 7
Jim Bridenstine,R,Oklahoma 1
Susan Brooks,R,Indiana 5
Julia Brownley,D,California 26
Cheri Bustos,D,Illinois 17
Tony Cardenas,D,California 29
Matt Cartwright,D,Pennsylvania 17
Joaquin Castro,D,Texas 20
Chris Collins,R,New York 27
Doug Collins,R,Georgia 9
Paul Cook,R,California 8
Tom Cotton,R,Arkansas 4
Kevin Cramer,R,North Dakota at-large
Steve Daines,R,Montana at-large
Rodney Davis,R,Illinois 13
John Delaney,D,Maryland 6
Ron DeSantis,R,Florida 6
Tammy Duckworth,D,Illinois 8
William Enyart,D,Illinois 12
Elizabeth Esty,D,Connecticut 5
Lois Frankel,D,Florida 22
Tulsi Gabbard,D,Hawaii 2
Pete Gallego,D,Texas 23
Joe Garcia,D,Florida 26
Dennis Heck,D,Washington 10
George Holding,R,North Carolina 13
Steve Horsford,D,Nevada 4
Richard Hudson,R,North Carolina 8
Jared Huffman,D,California 2
Hakeem Jeffries,D,New York 8
David Joyce,R,Ohio 14
Joseph Kennedy III,D,Massachusetts 4
Dan Kildee,D,Michigan 5
Derek Kilmer,D,Washington 6
Ann McLane Kuster,D,New Hampshire 2
Doug LaMalfa,R,California 1
Alan Lowenthal,D,California 47
Michelle Lujan Grisham,D,New Mexico 1
Sean Patrick Maloney,D,New York 18
Gloria Negrete McLeod,D,California 35
Mark Meadows,R,North Carolina 11
Grace Meng,D,New York 6
Luke Messer,R,Indiana 6
Markwayne Mullin,R,Oklahoma 2
Patrick Murphy,D,Florida 18
Beto O'Rourke,D,Texas 16
Scott Perry,R,Pennsylvania 4
Scott Peters,D,California 52
Robert Pittenger,R,North Carolina 9
Mark Pocan,D,Wisconsin 2
Trey Radel,R,Florida 19
Tom Rice,R,South Carolina 7
Keith Rothfus,R,Pennsylvania 12
Raul Ruiz,D,California 36
Brad Schneider,D,Illinois 10
Kyrsten Sinema,D,Arizona 9
Chris Stewart,R,Utah 2
Eric Swalwell,D,California 15
Mark Takano,D,California 41
David Valadao,R,California 21
Juan Vargas,D,California 51
Marc Veasey,D,Texas 33
Filemon Vela,D,Texas 34
Ann Wagner,R,Missouri 2
Jackie Walorski,R,Indiana 2
Randy Weber,R,Texas 14
Brad Wenstrup,R,Ohio 2
Roger Williams,R,Texas 25
Ted Yoho,R,Florida 3
Robin Kelly,D,Illinois 2
Mark Sanford,R,South Carolina 1
Jason T. Smith,R,Missouri 8
Vance McAllister,R,Louisiana 5
Katherine Clark,D,Massachusetts 5
Bradley Byrne,R,Alabama 1
David Jolly,R,Florida 13
Curt Clawson,R,Florida 19
Alma Adams,D,North Carolina 12
Dave Brat,R,Virginia 7
Donald Norcross,D,New Jersey 1
